Team,Conf,PCT,W,L
Clemson Tigers,ACC,1.0,13,0
Alabama Crimson Tide,SEC,0.9884285007655187,13,0
Notre Dame Fighting Irish,FBS Independents,0.9458643175788384,12,0
Oklahoma Sooners,Big 12,0.8929871870687212,12,1
Ohio State Buckeyes,Big Ten,0.8793590306894655,12,1
UCF Knights,American Athletic,0.801344876893899,12,0
Georgia Bulldogs,SEC,0.774877214900726,11,2
Washington Huskies,Pac-12,0.7420681316025548,10,3
Michigan Wolverines,Big Ten,0.7347868144524351,10,2
Penn State Nittany Lions,Big Ten,0.7032305914912963,9,3
Syracuse Orange,ACC,0.6963970863666107,9,3
Fresno State Bulldogs,Mountain West,0.6936078626485904,11,2
Florida Gators,SEC,0.6910134452030902,9,3
Washington State Cougars,Pac-12,0.6713155824405774,10,2
Appalachian State Mountaineers,Sun Belt,0.6668577497789702,10,2
Cincinnati Bearcats,American Athletic,0.655361706118729,10,2
Texas A&M Aggies,SEC,0.6540051415048445,8,4
Kentucky Wildcats,SEC,0.653398893136832,9,3
Mississippi State Bulldogs,SEC,0.6420401121229947,8,4
Army Knights,FBS Independents,0.6354598217652099,10,2
Stanford Cardinal,Pac-12,0.6333961296865214,8,4
Missouri Tigers,SEC,0.6240571789667515,8,4
NC State Wolfpack,ACC,0.6218757729269805,9,3
UAB Blazers,Conference USA,0.6075548221384143,10,3
LSU Tigers,SEC,0.603968445892212,9,3
Georgia Southern Eagles,Sun Belt,0.5935239364450824,9,3
Texas Longhorns,Big 12,0.5931776214466485,9,4
West Virginia Mountaineers,Big 12,0.5926677457429473,8,3
Iowa Hawkeyes,Big Ten,0.5905453919111449,8,4
Iowa State Cyclones,Big 12,0.5873329654833156,8,4
Boise State Broncos,Mountain West,0.5853587741298707,10,3
Utah State Aggies,Mountain West,0.5850790126683879,10,2
Utah Utes,Pac-12,0.5764838114031825,9,4
North Texas Mean Green,Conference USA,0.5717949151219959,9,3
Temple Owls,American Athletic,0.5674566176668397,8,4
Oregon Ducks,Pac-12,0.5615117592166036,8,4
Troy Trojans,Sun Belt,0.5518361074512159,9,3
Ohio Bobcats,Mid-American,0.5513743969356114,8,4
Northwestern Wildcats,Big Ten,0.5512527891222208,8,5
Buffalo Bulls,Mid-American,0.5502886308410556,10,3
Arkansas State Red Wolves,Sun Belt,0.539812368848823,8,4
Arizona State Sun Devils,Pac-12,0.5396951007995915,7,5
South Carolina Gamecocks,SEC,0.5321766322097885,7,5
Miami Hurricanes,ACC,0.5206627242530063,7,5
Northern Illinois Huskies,Mid-American,0.5134416487646433,8,5
Purdue Boilermakers,Big Ten,0.5076800868047406,6,6
Michigan State Spartans,Big Ten,0.5065479763953138,7,5
