,PCT,Rank
Air Force,0.6652830673215326,20
Akron,0.0,130
Alabama,0.717843985232911,17
Appalachian State,0.7737518827525818,9
Arizona,0.21685388068850858,110
Arizona State,0.478895835086855,50
Arkansas,0.08037008142739804,126
Arkansas State,0.4600219482930085,61
Army,0.2921032164253065,94
Auburn,0.6573430580918591,23
BYU,0.4695254514042027,53
Ball State,0.3217403251247509,89
Baylor,0.7883997279179599,8
Boise State,0.7614258094615192,12
Boston College,0.4114362810823208,69
Bowling Green,0.19669889972914728,112
Buffalo,0.462487802943803,57
California,0.47809796857581127,52
Central Michigan,0.48844508189950847,49
Charlotte,0.46201438741287343,59
Cincinnati,0.6290127641379006,25
Clemson,0.9852411238936336,3
Coastal Carolina,0.329043073361556,83
Colorado,0.3265294113246747,84
Colorado State,0.2560145029164389,104
Connecticut,0.1252440627479397,123
Duke,0.320871954620072,90
East Carolina,0.2589605905810295,102
Eastern Michigan,0.3948117556055455,74
Florida,0.7504430121467589,14
Florida Atlantic,0.6308887554715761,24
Florida International,0.4144712340410351,67
Florida State,0.4123790828587949,68
Fresno State,0.25907014148312424,101
Georgia,0.818031979317329,6
Georgia Southern,0.46283335241827483,54
Georgia State,0.46260339413086005,55
Georgia Tech,0.17801804460728868,116
Hawai'i,0.5300077306530389,40
Houston,0.26077931139682786,99
Illinois,0.39661174109436387,72
Indiana,0.5488616046008502,36
Iowa,0.6684405601023169,19
Iowa State,0.49385267844555436,45
Kansas,0.1597396589914164,118
Kansas State,0.5763555099307173,33
Kent State,0.39164237412556924,78
Kentucky,0.490714562180021,48
LSU,0.9963469800342568,2
Liberty,0.4283800551707384,65
Louisiana,0.6252536252713851,26
Louisiana Monroe,0.3254412492526663,85
Louisiana Tech,0.5887155723654163,32
Louisville,0.5088034013707574,43
Marshall,0.5299407264787164,41
Maryland,0.1510108837524095,120
Memphis,0.762792414826452,10
Miami,0.4185319376513009,66
Miami (OH),0.4949059213520111,44
Michigan,0.7091351184039709,18
Michigan State,0.39645509199927,73
Middle Tennessee,0.25505310182261803,105
Minnesota,0.720224051807534,16
Mississippi State,0.398278352136578,71
Missouri,0.37081309383571387,80
NC State,0.19379531507494677,115
Navy,0.65866898200399,22
Nebraska,0.3041433477714534,93
Nevada,0.4603498529463098,60
New Mexico,0.13090281640154516,122
New Mexico State,0.11902961259277622,124
North Carolina,0.4020657273876269,70
North Texas,0.2573916004530795,103
Northern Illinois,0.315667886027903,92
Northwestern,0.16348390218752143,117
Notre Dame,0.7624331793826346,11
Ohio,0.39151695624251004,79
Ohio State,1.0,1
Oklahoma,0.9094041193028377,4
Oklahoma State,0.5734118874407292,34
Old Dominion,0.05956120258252995,127
Ole Miss,0.2218085221857606,109
Oregon,0.821958676820867,5
Oregon State,0.3340559318393253,81
Penn State,0.7558520472562333,13
Pittsburgh,0.4596383501236354,62
Purdue,0.24921572137443176,107
Rice,0.19396796230315155,114
Rutgers,0.08353834082790002,125
SMU,0.6630165299307769,21
San Diego State,0.5933175773148068,29
San José State,0.3299647766436725,82
South Alabama,0.1319297692811049,121
South Carolina,0.27301740719291134,95
South Florida,0.2600306123682034,100
Southern Mississippi,0.45799382364562,63
Stanford,0.2272786936253802,108
Syracuse,0.3226633545007916,88
TCU,0.31585228108817964,91
Temple,0.5347500951151983,38
Tennessee,0.5286235241843176,42
Texas,0.4917099146785415,46
Texas A&M,0.49139369228123886,47
Texas State,0.19630578088544678,113
Texas Tech,0.21129343042607687,111
Toledo,0.3918981912445054,77
Troy,0.3240246069151587,87
Tulane,0.3928329514514137,76
Tulsa,0.2621863310527831,98
UAB,0.5494405217580627,35
UCF,0.5914156186034605,30
UCLA,0.266212726233062,96
UMass,0.05044056658893015,129
UNLV,0.26556267790592486,97
USC,0.6079421831418885,28
UT San Antonio,0.2543456477152762,106
UTEP,0.05936143843369629,128
Utah,0.8006020204858757,7
Utah State,0.4623560266103894,58
Vanderbilt,0.15803754943492443,119
Virginia,0.6099227554212525,27
Virginia Tech,0.5893012808497966,31
Wake Forest,0.543553250622388,37
Washington,0.47835237945228937,51
Washington State,0.3928943938032337,75
West Virginia,0.32440490685092555,86
Western Kentucky,0.5315094785898082,39
Western Michigan,0.4529779243810503,64
Wisconsin,0.7314291322067517,15
Wyoming,0.46252748375430325,56
