,PCT,Rank
LSU,1.0,1
Clemson,0.9637378336803253,2
Ohio State,0.8857607607744193,3
Georgia,0.8212632203397737,4
Oregon,0.8086910909116483,5
Oklahoma,0.7880707015408194,6
Notre Dame,0.7660225514344667,7
Appalachian State,0.7463851035697118,8
Florida,0.732590634453686,9
Penn State,0.7259585976625297,10
Alabama,0.7060529100437523,11
Minnesota,0.6966217068621562,12
Utah,0.6819411207335988,13
Memphis,0.679631433000519,14
Navy,0.6771124670564972,15
Iowa,0.6683232836233908,16
Air Force,0.6680501666613734,17
Baylor,0.6621543165520329,18
Boise State,0.6579252032067215,19
Florida Atlantic,0.6467851202776711,20
Wisconsin,0.6395036118245664,21
Cincinnati,0.6281109353183402,22
Michigan,0.6197599976526206,23
Louisiana,0.5807177671415066,24
UCF,0.5767893415725045,25
Louisiana Tech,0.5671371029234473,26
San Diego State,0.5667910718690514,27
Tennessee,0.5644352099226153,28
Auburn,0.5636556656114786,29
SMU,0.5633315368646779,30
Western Kentucky,0.5259069749572625,31
USC,0.5235401718855579,32
Virginia,0.5225424335235437,33
Texas,0.5206029828488581,34
Hawai'i,0.5196276159067456,35
Louisville,0.5181044550471802,36
Kentucky,0.5163061191485662,37
Texas A&M,0.51001972229917,38
Virginia Tech,0.4861248195107164,39
Washington,0.4839021899164646,40
Kansas State,0.4799839633615762,41
California,0.4750798855945223,42
Arizona State,0.474759514203298,43
Buffalo,0.4718671192633282,44
Marshall,0.4662805031473022,45
Miami (OH),0.4595828831185529,46
Oklahoma State,0.4571068961074906,47
UAB,0.457098984075565,48
Arkansas State,0.4488326943588419,49
Wyoming,0.44854818498774585,50
Temple,0.4426079763063685,51
Pittsburgh,0.4396798798027363,52
Indiana,0.4296074992690964,53
Wake Forest,0.41885319212676064,54
Central Michigan,0.41385015546088344,55
Michigan State,0.4135684581371072,56
North Carolina,0.4108654486267,57
Iowa State,0.41064585726743197,58
BYU,0.40250790645823226,59
Georgia Southern,0.402053904916502,60
Kent State,0.4020104813854183,61
Liberty,0.40194138147694775,62
Utah State,0.39573818464796295,63
Tulane,0.3881184981950858,64
Charlotte,0.3876745552680615,65
Ohio,0.3873712925475136,66
Southern Mississippi,0.38221725034933435,67
Western Michigan,0.3756533473850101,68
Georgia State,0.3747154525990899,69
Nevada,0.3658481903811087,70
Miami,0.34739052208177285,71
Boston College,0.3453741726458055,72
Toledo,0.34252398862060685,73
Florida International,0.33222872319159424,74
Florida State,0.32944181500658043,75
Washington State,0.3264339582680246,76
Missouri,0.3240568631397418,77
Mississippi State,0.3212445755332312,78
Oregon State,0.3102584745402521,79
Illinois,0.3041068956649221,80
Louisiana Monroe,0.3020909852556739,81
Syracuse,0.2985170704195781,82
Colorado,0.2951087338420577,83
Ball State,0.2943547954300336,84
Eastern Michigan,0.2914247007419746,85
Troy,0.2910940242013701,86
Duke,0.2878065667781516,87
Northern Illinois,0.2866167623050273,88
West Virginia,0.28496514072314627,89
San José State,0.2844281213459503,90
Coastal Carolina,0.28054650226518807,91
South Carolina,0.2729393252881054,92
TCU,0.27061630454597085,93
Nebraska,0.26338895588069483,94
Tulsa,0.25480207796549886,95
UCLA,0.2542582141171794,96
Army,0.2502701477712278,97
UNLV,0.24973211384116933,98
South Florida,0.24495231907834228,99
Houston,0.2448736112818356,100
Colorado State,0.23504073180203697,101
Purdue,0.22549579089315241,102
Middle Tennessee,0.22140322448808195,103
UT San Antonio,0.21970451366915408,104
Fresno State,0.21910267461542948,105
East Carolina,0.21674125240673758,106
North Texas,0.21111150107984,107
Stanford,0.20083903634748942,108
Ole Miss,0.194987361192593,109
Rice,0.18691665779967934,110
Arizona,0.183680881565563,111
Bowling Green,0.18345384068058138,112
Texas State,0.17406103534412928,113
Georgia Tech,0.17225278763733273,114
Texas Tech,0.16995908223580375,115
NC State,0.15702486786897232,116
Northwestern,0.1558266979311416,117
Vanderbilt,0.15425378414576726,118
Kansas,0.13839653155396303,119
Maryland,0.13305419007163874,120
South Alabama,0.12900580853015428,121
New Mexico State,0.11189872291848357,122
New Mexico,0.10976295097206884,123
Connecticut,0.10414173893771578,124
Rutgers,0.09565762224611757,125
Arkansas,0.07545568045579498,126
UMass,0.04767478336218084,127
Old Dominion,0.03567750828530086,128
UTEP,0.020586108555254168,129
Akron,0.0,130
