School,4,5,6,7,8,9
Air Force,999,999,999,999,999,999
Alabama,999,999,999,1,1,1
Appalachian State,999,999,999,999,22,26
Arkansas,999,999,999,37,41,43
Arkansas State,999,999,13,21,30,41
Army,999,4,12,19,19,21
Auburn,999,999,999,28,29,18
Baylor,999,999,999,999,999,72
Boise State,999,999,999,999,999,999
Boston College,999,999,6,27,25,32
BYU,999,999,2,5,7,8
Charlotte,999,999,999,999,28,50
Cincinnati,999,999,999,999,8,4
Clemson,999,999,1,2,2,2
Coastal Carolina,999,999,999,9,9,6
Colorado State,999,999,999,999,999,999
Duke,999,10,26,55,66,58
East Carolina,999,999,999,46,57,65
Florida,999,999,999,999,999,11
Florida Atlantic,999,999,999,999,999,999
Florida International,999,999,999,999,999,999
Florida State,999,999,23,23,43,46
Fresno State,999,999,999,999,999,999
Georgia,999,999,999,3,5,5
Georgia Southern,999,999,999,30,35,31
Georgia State,999,999,999,999,33,40
Georgia Tech,999,999,20,40,53,56
Hawai'i,999,999,999,999,999,999
Houston,999,999,999,999,999,35
Illinois,999,999,999,999,999,999
Indiana,999,999,999,999,999,999
Iowa,999,999,999,999,999,999
Iowa State,999,999,3,10,15,22
Kansas,999,999,999,51,67,71
Kansas State,999,999,5,14,14,27
Kentucky,999,999,999,31,55,63
Liberty,999,999,11,16,17,20
Louisiana,999,999,999,17,13,17
Louisiana Monroe,999,9,31,50,65,70
Louisiana Tech,999,999,9,24,34,33
Louisville,999,999,33,56,51,61
LSU,999,999,999,999,46,59
Marshall,999,999,999,12,10,9
Maryland,999,999,999,999,999,999
Memphis,999,999,999,999,21,30
Miami,999,999,8,6,11,10
Michigan,999,999,999,999,999,999
Michigan State,999,999,999,999,999,999
Middle Tennessee,999,11,29,57,58,57
Minnesota,999,999,999,999,999,999
Mississippi State,999,999,999,58,63,67
Missouri,999,999,999,999,23,38
Navy,999,999,16,22,38,48
NC State,999,999,4,11,24,23
Nebraska,999,999,999,999,999,999
Nevada,999,999,999,999,999,999
New Mexico,999,999,999,999,999,999
North Carolina,999,999,999,15,6,24
North Texas,999,999,30,43,50,55
Northwestern,999,999,999,999,999,999
Notre Dame,999,999,999,7,3,3
Ohio State,999,999,999,999,999,999
Oklahoma,999,999,14,29,27,13
Oklahoma State,999,999,999,999,4,14
Ole Miss,999,999,999,44,64,62
Penn State,999,999,999,999,999,999
Pittsburgh,999,3,18,41,47,54
Purdue,999,999,999,999,999,999
Rice,999,999,999,999,999,999
Rutgers,999,999,999,999,999,999
San Diego State,999,999,999,999,999,999
San José State,999,999,999,999,999,999
SMU,999,1,7,13,20,16
South Alabama,999,999,999,34,39,47
South Carolina,999,999,999,32,49,51
Southern Mississippi,999,7,21,42,52,60
South Florida,999,999,24,49,62,66
Syracuse,999,999,28,53,61,69
TCU,999,999,999,999,56,42
Temple,999,999,999,999,999,64
Tennessee,999,999,999,33,42,44
Texas,999,999,27,47,40,19
Texas A&M,999,999,999,8,12,7
Texas State,2,8,25,52,59,68
Texas Tech,999,999,32,54,37,49
Troy,999,999,999,25,36,34
Tulane,999,999,17,39,54,45
Tulsa,999,999,999,999,999,25
UAB,999,2,10,18,26,36
UCF,999,999,999,36,31,28
UMass,999,999,999,999,999,999
UNLV,999,999,999,999,999,999
Utah State,999,999,999,999,999,999
UTEP,1,5,19,38,48,52
UT San Antonio,999,6,15,35,32,39
Vanderbilt,999,999,999,999,999,73
Virginia,999,999,999,48,60,37
Virginia Tech,999,999,999,4,18,15
Wake Forest,999,999,999,26,16,12
Western Kentucky,999,999,22,45,45,53
West Virginia,999,999,999,20,44,29
Wisconsin,999,999,999,999,999,999
Wyoming,999,999,999,999,999,999
