Rank_W9,School,PCT_W9
1,Alabama,1.0000000000000002
2,Clemson,0.9165687069314958
3,Notre Dame,0.7991574497654758
4,Cincinnati,0.7767812264751868
5,Georgia,0.7721686258613701
6,Coastal Carolina,0.7379229640782135
7,Texas A&M,0.7263558978516418
8,BYU,0.7250279195585815
9,Marshall,0.6982879726677863
10,Miami,0.6899395834539734
11,Florida,0.6713417105796514
12,Wake Forest,0.6491511764819426
13,Oklahoma,0.6323942710444534
14,Oklahoma State,0.6314754762869883
15,Virginia Tech,0.6191190379678422
16,SMU,0.6189756830985333
17,Louisiana,0.6133203524620225
18,Auburn,0.5969463586001892
19,Texas,0.5835968112417241
20,Liberty,0.5793041963441234
21,Army,0.5707824921618425
22,Iowa State,0.5665788406972032
23,NC State,0.5629972783600672
24,North Carolina,0.5421796282355666
25,Tulsa,0.5386501824077827
26,Appalachian State,0.537909548902658
27,Kansas State,0.5292450827108306
28,UCF,0.5290694307719035
29,West Virginia,0.523915687069315
30,Memphis,0.5080375238867335
31,Georgia Southern,0.487765166869342
32,Boston College,0.4810812934821274
33,Louisiana Tech,0.4747561691883888
34,Troy,0.46850570386241247
35,Houston,0.4679353176211709
36,UAB,0.4410322377836421
37,Virginia,0.4210280464029958
38,Missouri,0.41761653830563444
39,UT San Antonio,0.411170124211014
40,Georgia State,0.40707336846372116
41,Arkansas State,0.4053998494411953
42,TCU,0.37592217267936767
43,Arkansas,0.36933117146331584
44,Tennessee,0.365342521280908
45,Tulane,0.35654248322758375
46,Florida State,0.3555458239234081
47,South Alabama,0.3554215646534253
48,Navy,0.3539339692098972
49,Texas Tech,0.34796649101472776
50,Charlotte,0.3457999884185536
51,South Carolina,0.33871098500202684
52,UTEP,0.3294057752813327
53,Western Kentucky,0.31947089334315004
54,Pittsburgh,0.3189782682428464
55,North Texas,0.3170548381492849
56,Georgia Tech,0.28305303475261206
57,Middle Tennessee,0.2815945997369358
58,Duke,0.2743355145057618
59,LSU,0.2676530198621808
60,Southern Mississippi,0.2641597660547803
61,Louisville,0.24732840846107398
62,Ole Miss,0.24107553033373874
63,Kentucky,0.24075124983110396
64,Temple,0.2317563263651631
65,East Carolina,0.2297932711795704
66,South Florida,0.20770166193757605
67,Mississippi State,0.19540332387515208
68,Texas State,0.1934876078522208
69,Syracuse,0.16951349652142983
70,Louisiana Monroe,0.16246236029880134
71,Kansas,0.10270233752195657
72,Baylor,0.0726388325901906
73,Vanderbilt,0.0
