,PCT,Rank
Ohio State,1.0,1
Georgia,0.9639425351579571,2
USC,0.9502421794276774,3
Oklahoma,0.9214955818805284,4
Miami,0.9152721563674264,5
Kansas State,0.8422940790301454,6
Texas,0.8376195082859887,7
Iowa,0.7969189279496272,8
Washington State,0.7703391725137614,9
Michigan,0.7696837074977183,10
NC State,0.7660704871421684,11
Maryland,0.7496270733169015,12
Virginia,0.7037291541813299,13
Notre Dame,0.6820730378769735,14
Boise State,0.6799480841066587,15
Colorado,0.6764904675861882,16
Alabama,0.6631869592599923,17
Florida State,0.6629961654057415,18
Virginia Tech,0.6620634262617887,19
Penn State,0.634966539586302,20
Texas Tech,0.6345960608668616,21
Auburn,0.6315869459500022,22
Pittsburgh,0.6239559889929155,23
West Virginia,0.6111487023972886,24
LSU,0.6072365965107722,25
Arkansas,0.5947023120215206,26
TCU,0.5804170215130801,27
Minnesota,0.5786069812977309,28
Marshall,0.5740582142222096,29
Bowling Green,0.5709055605371736,30
Florida,0.5614076666235709,31
Iowa State,0.5543446718966146,32
Wisconsin,0.5536527777151946,33
Ole Miss,0.546738861808682,34
Tennessee,0.5429711814453193,35
South Florida,0.533802915127292,36
Oklahoma State,0.5319050685759108,37
Air Force,0.5269924171184495,38
Boston College,0.5243576976628835,39
Washington,0.5184366758161294,40
Oregon State,0.5141967767640849,41
Arizona State,0.513994241349633,42
Wake Forest,0.5039571224217527,43
UCLA,0.5036714255657873,44
Colorado State,0.4985102083117421,45
Oregon,0.4896552955216389,46
Fresno State,0.4835599093395576,47
Georgia Tech,0.48093456580143645,48
Northern Illinois,0.47320701176512997,49
California,0.47306809596549015,50
Toledo,0.4724319258134432,51
Purdue,0.4619013927310124,52
Clemson,0.440158163581857,53
Louisville,0.4392330152915841,54
Kentucky,0.4379659001984136,55
Nebraska,0.4379174232968498,56
Texas A&M,0.4263308805748437,57
Hawai'i,0.42369816426122103,58
Tulane,0.4111658164795007,59
South Carolina,0.3806006404508389,60
Miami (OH),0.3789636156634088,61
Southern Mississippi,0.3557694993953313,62
Illinois,0.35370564795330595,63
Missouri,0.35238351650167243,64
San José State,0.33384617810915646,65
New Mexico State,0.31497481904710406,66
UCF,0.30417178283850094,67
Cincinnati,0.3012412865491806,68
Michigan State,0.3004655434745059,69
New Mexico,0.2970225569669306,70
Ball State,0.2961821529902475,71
UAB,0.291380423893142,72
Connecticut,0.2859783472343007,73
Utah,0.27349052534473867,74
Arkansas State,0.273075969887534,75
BYU,0.27119465710195995,76
UNLV,0.2660822402561803,77
Central Michigan,0.26371672892437603,78
Arizona,0.2581498458201721,79
East Carolina,0.2556017857223321,80
North Texas,0.25294762553590905,81
Houston,0.2515713875884112,82
Baylor,0.2509208358304007,83
Nevada,0.2454866915697504,84
Western Michigan,0.23980461480576945,85
North Carolina,0.22039247890822955,86
Eastern Michigan,0.22024186631940534,87
Syracuse,0.21198669307174584,88
Temple,0.21079670905297687,89
Ohio,0.2101014072194911,90
Rice,0.2061335074555638,91
Indiana,0.20446789184431516,92
Louisiana Tech,0.19790573026265393,93
Kent State,0.192173515014697,94
San Diego State,0.1853578151651392,95
Memphis,0.171500162966501,96
Utah State,0.17061409832963093,97
Akron,0.1630161794944584,98
Northwestern,0.16096884711339016,99
Stanford,0.15931514334975833,100
Mississippi State,0.1567382893173581,101
Troy,0.1430406263471021,102
Louisiana Monroe,0.1375026566543653,103
Middle Tennessee,0.13131814365384414,104
Louisiana,0.11976973284007805,105
Wyoming,0.11527356593234112,106
Kansas,0.10331747601688848,107
UTEP,0.08695445649545422,108
Vanderbilt,0.07665878494580047,109
Navy,0.06449924975329724,110
Army,0.05950432649775228,111
Duke,0.05780237795911869,112
Idaho,0.057178111120623765,113
Rutgers,0.054958612516728456,114
SMU,0.04183113516306408,115
Buffalo,0.03991450454428708,116
Tulsa,0.0,117
