,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Air Force,83,77,83,80,83,87,79,82,87,90,94,94,94,94
Akron,73,85,92,85,81,82,77,69,74,79,80,80,79,79
Alabama,72,84,79,69,78,68,73,78,83,82,81,81,84,84
Arizona,62,72,81,75,80,76,71,62,58,61,63,63,61,61
Arizona State,53,57,59,64,59,54,60,54,59,56,56,56,56,56
Arkansas,22,28,21,18,17,16,13,13,10,13,13,13,18,18
Arkansas State,89,74,68,58,52,59,67,71,66,70,69,69,68,68
Army,85,92,80,87,87,92,95,98,98,97,100,100,100,100
Auburn,7,7,7,7,6,6,6,9,9,9,11,11,9,9
BYU,36,34,29,28,27,25,22,20,19,15,16,16,14,14
Ball State,84,96,86,86,89,84,86,85,80,75,74,74,73,73
Baylor,81,79,74,82,75,78,82,84,89,89,88,88,89,89
Boise State,19,17,16,13,12,14,12,10,8,8,7,7,5,5
Boston College,24,18,25,20,19,17,21,19,18,21,20,20,19,19
Bowling Green,100,94,97,84,85,91,94,92,93,100,99,99,99,99
Buffalo,110,107,108,109,108,109,105,107,108,109,108,108,107,107
California,25,26,19,17,16,20,16,21,28,28,22,22,20,20
Central Michigan,47,52,48,43,35,34,30,30,32,31,30,30,27,27
Cincinnati,63,58,52,60,53,48,50,56,53,47,48,48,41,41
Clemson,39,35,32,30,30,33,41,33,33,41,43,43,45,45
Colorado,107,110,114,112,113,117,116,110,109,110,109,109,110,110
Colorado State,88,80,72,81,84,88,89,88,91,93,98,98,97,97
Connecticut,59,64,71,62,74,79,78,72,77,81,83,83,82,82
Duke,119,119,119,119,119,119,119,119,119,119,119,119,119,119
East Carolina,69,69,57,68,61,56,53,51,52,46,46,46,50,50
Eastern Michigan,117,117,115,117,112,114,114,116,116,117,117,117,117,117
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida Atlantic,112,102,101,89,88,83,87,87,85,80,79,79,78,78
Florida International,118,118,118,118,118,118,118,118,118,118,118,118,118,118
Florida State,50,43,54,49,55,62,56,59,56,62,62,62,57,57
Fresno State,82,89,96,100,103,100,101,97,90,83,87,87,86,86
Georgia,11,10,13,22,21,24,27,25,26,23,25,25,23,23
Georgia Tech,32,27,27,26,31,28,28,27,24,29,32,32,35,35
Hawai'i,48,45,40,34,33,31,29,28,23,20,26,26,21,21
Houston,30,33,35,44,37,38,33,32,30,30,28,28,30,30
Idaho,92,82,73,63,73,77,81,81,84,86,85,85,85,85
Illinois,108,105,110,113,114,113,113,115,114,115,115,115,115,115
Indiana,46,61,56,51,63,58,65,68,76,73,73,73,74,74
Iowa,45,55,50,55,67,60,66,73,75,74,75,75,80,80
Iowa State,75,71,82,92,98,99,100,105,97,96,96,96,98,98
Kansas,42,48,55,70,79,73,68,65,62,69,68,68,67,67
Kansas State,37,40,37,47,54,49,45,38,46,50,52,52,53,53
Kent State,77,73,64,57,56,64,70,74,68,71,71,71,71,71
Kentucky,34,30,33,36,36,36,34,31,31,35,33,33,31,31
LSU,6,3,5,5,5,5,5,5,4,4,4,4,4,4
Louisiana,94,81,70,72,62,67,72,76,71,67,70,70,69,69
Louisiana Monroe,104,104,105,107,107,108,107,101,102,98,93,93,93,93
Louisiana Tech,86,97,99,102,90,94,90,90,92,99,101,101,101,101
Louisville,13,13,11,11,10,9,10,14,12,11,8,8,7,7
Marshall,93,90,94,98,86,81,76,80,73,78,78,78,77,77
Maryland,14,14,23,16,20,21,15,15,20,27,27,27,25,25
Memphis,105,109,109,110,111,112,112,114,115,113,113,113,114,114
Miami,70,63,60,53,47,53,59,60,69,63,64,64,58,58
Miami (OH),115,116,117,114,115,116,115,112,110,111,110,110,109,109
Michigan,5,8,4,3,3,3,4,4,5,5,6,6,8,8
Michigan State,80,91,102,104,95,96,97,103,104,103,102,102,103,103
Middle Tennessee,76,66,69,66,58,55,51,49,51,55,54,54,54,54
Minnesota,40,51,61,76,68,74,69,63,60,58,59,59,66,66
Mississippi State,106,111,112,106,106,107,102,100,103,105,105,105,105,105
Missouri,21,24,24,27,28,30,32,34,41,37,35,35,44,44
NC State,103,99,93,95,99,101,104,106,106,108,107,107,108,108
Navy,55,44,38,45,42,51,48,46,40,40,37,37,42,42
Nebraska,23,21,26,19,25,27,26,24,29,26,29,29,32,32
Nevada,74,62,67,67,60,57,54,52,44,51,51,51,52,52
New Mexico,64,75,87,79,69,61,61,64,72,68,65,65,70,70
