,rank,school,conference,firstPlaceVotes,points
4,1,Alabama,SEC,62,1598
7,2,Clemson,ACC,2,1538
0,3,Notre Dame,FBS Independents,0,1460
9,4,Oklahoma,Big 12,0,1375
20,5,Ohio State,Big Ten,0,1326
1,6,Georgia,SEC,0,1316
24,7,UCF,American Athletic,0,1218
21,8,Michigan,Big Ten,0,1122
11,9,Washington,Pac-12,0,1046
2,10,Florida,SEC,0,976
6,11,LSU,SEC,0,899
22,12,Penn State,Big Ten,0,889
12,13,Washington State,Pac-12,0,856
10,14,Texas,Big 12,0,776
3,15,Kentucky,SEC,0,696
14,16,West Virginia,Big 12,0,683
16,17,Syracuse,ACC,0,505
5,18,Mississippi State,SEC,0,501
13,19,Utah,Pac-12,0,411
15,20,Texas A&M,SEC,0,388
19,21,Fresno State,Mountain West,0,357
23,22,Northwestern,Big Ten,0,159
17,23,Utah State,Mountain West,0,125
18,24,Boise State,Mountain West,0,122
8,25,Army,FBS Independents,0,114
