,PCT,Rank
LSU,1.0,1
Clemson,0.8687303522835548,2
Ohio State,0.8311370125743036,3
Georgia,0.7746078022018885,4
Oregon,0.7627669044249552,5
Oklahoma,0.7433458569360294,6
Notre Dame,0.7225800914328715,7
Appalachian State,0.704808913846144,8
Florida,0.6910926720804469,9
Penn State,0.6848463738581851,10
Alabama,0.6660984589865633,11
Minnesota,0.65721580204088,12
Utah,0.6433890815439663,13
Memphis,0.6412137319740794,14
Navy,0.6388412764233108,15
Iowa,0.6303607915284066,16
Air Force,0.6303060658039812,17
Baylor,0.6247531355027195,18
Boise State,0.6207699997026004,19
Florida Atlantic,0.6102778564309643,20
Wisconsin,0.6034198617095446,21
Cincinnati,0.5923193471132387,22
Michigan,0.5848245936212109,23
Louisiana,0.5815019497828563,24
UCF,0.5443532360074295,25
Louisiana Tech,0.5352623996606156,26
San Diego State,0.53493649477981,27
Tennessee,0.5327176566232514,28
Auburn,0.5319834528788874,29
SMU,0.5316781764036987,30
Western Kentucky,0.4964303359781256,31
USC,0.4942011930639993,32
Texas,0.49143483949327593,33
Virginia,0.4912182916089143,34
Hawai'i,0.4905162027322896,35
Louisville,0.48753450292171163,36
Kentucky,0.48738789389607656,37
Texas A&M,0.4808757845625471,38
Virginia Tech,0.4589620265177721,39
Washington,0.4568686715318899,40
Kansas State,0.45317834044131855,41
California,0.44855949811537893,42
Arizona State,0.4482577604570269,43
Buffalo,0.44514369609321114,44
Marshall,0.44027191337061944,45
Oklahoma State,0.43163187002512543,46
UAB,0.43162441818001246,47
Arkansas State,0.42407608993360063,48
Wyoming,0.42357095846272275,49
Temple,0.41797624961312346,50
Pittsburgh,0.4152184597272716,51
Indiana,0.4057319181711221,52
Miami (OH),0.4045308287593214,53
Wake Forest,0.3940834869628096,54
Michigan State,0.3906257543689069,55
Central Michigan,0.3897684330368802,56
Iowa State,0.38787314047494065,57
North Carolina,0.3865809622865796,58
BYU,0.3802085165783814,59
Georgia Southern,0.37994583499018797,60
Liberty,0.3797420980005845,61
Kent State,0.37896173536508015,62
Utah State,0.37383254149858725,63
Tulane,0.36665603819446446,64
Charlotte,0.36557322321073094,65
Ohio,0.3651095878305173,66
Southern Mississippi,0.3610980241048569,67
Western Michigan,0.35411796291612896,68
Georgia State,0.35403255275318973,69
Nevada,0.345681036322768,70
Miami,0.32829691975107234,71
Boston College,0.325297665435979,72
Toledo,0.32371343804488023,73
Florida International,0.3140169752278004,74
Florida State,0.3101269528590447,75
Washington State,0.30855925070359647,76
Missouri,0.3063204143488677,77
Mississippi State,0.3037368697381074,78
Oregon State,0.2933245802042203,79
Illinois,0.2875307950665512,80
Louisiana Monroe,0.28608798680370884,81
Syracuse,0.2815211756849264,82
Colorado,0.2790559925333794,83
Ball State,0.27682333257894354,84
Eastern Michigan,0.2755862335244295,85
Troy,0.27548966931936575,86
Duke,0.27217854076611003,87
Northern Illinois,0.27034331187637395,88
West Virginia,0.26950238032325263,89
San José State,0.2689965955565619,90
Coastal Carolina,0.26559491416919145,91
TCU,0.2559881142346613,92
South Carolina,0.2553825913996749,93
Nebraska,0.2491811292101245,94
Tulsa,0.2410936891151014,95
UCLA,0.2405814579716554,96
Army,0.23682534917560696,97
UNLV,0.23631860886540212,98
South Florida,0.2318168208823146,99
Houston,0.23174269096040984,100
Colorado State,0.22248172037950475,101
Purdue,0.21349194102389862,102
Middle Tennessee,0.2096374101964208,103
UT San Antonio,0.20803750134450447,104
Fresno State,0.207470667002394,105
East Carolina,0.20524659198462114,106
North Texas,0.19994428338587103,107
Stanford,0.19026929511055132,108
Ole Miss,0.18475797041976819,109
Rice,0.17715668263397355,110
Arizona,0.17410910856656958,111
Bowling Green,0.17326741640920676,112
Texas State,0.16529190110425013,113
Georgia Tech,0.16303780779979815,114
Texas Tech,0.16118540903673606,115
Northwestern,0.14787500534955478,116
NC State,0.14706670815240958,117
Vanderbilt,0.1463935768094635,118
Kansas,0.13145862819666027,119
Maryland,0.12642701284913166,120
South Alabama,0.12301315838311588,121
New Mexico State,0.10650200925957423,122
New Mexico,0.1044904600278456,123
Connecticut,0.09919619405152352,124
Rutgers,0.09120553828814529,125
Arkansas,0.07217860025013673,126
UMass,0.04601352101534273,127
Old Dominion,0.03471404238690268,128
UTEP,0.020500402403642815,129
Akron,0.0,130
