school,PCT,M,coach,delCoach,AP,delAP,CFP,delCFP
Ohio State,1.0,1,2.0,-1.0,2.0,-1.0,2.0,-1.0
LSU,0.9909605166862888,2,1.0,1.0,1.0,1.0,1.0,1.0
Clemson,0.9710912425397618,3,3.0,0.0,3.0,0.0,3.0,0.0
Oklahoma,0.8954429888411752,4,4.0,0.0,4.0,0.0,4.0,0.0
Oregon,0.8142467990742467,5,6.0,-1.0,7.0,-2.0,6.0,-1.0
Georgia,0.8087779318667954,6,5.0,1.0,5.0,1.0,5.0,1.0
Utah,0.7800049953101433,7,10.0,-3.0,12.0,-5.0,11.0,-4.0
Notre Dame,0.7725813369062404,8,14.0,-6.0,14.0,-6.0,15.0,-7.0
Memphis,0.766384953893121,9,15.0,-6.0,15.0,-6.0,17.0,-8.0
Baylor,0.7597839133558882,10,8.0,2.0,8.0,2.0,7.0,3.0
Appalachian State,0.7595771773339255,11,20.0,-9.0,20.0,-9.0,20.0,-9.0
Boise State,0.7515776043159859,12,18.0,-6.0,18.0,-6.0,19.0,-7.0
Penn State,0.7349344729178968,13,12.0,1.0,13.0,0.0,10.0,3.0
Wisconsin,0.7328218058170841,14,11.0,3.0,11.0,3.0,8.0,6.0
Florida,0.7252771690638198,15,7.0,8.0,6.0,9.0,9.0,6.0
Michigan,0.7129543934833227,16,17.0,-1.0,17.0,-1.0,14.0,2.0
Alabama,0.6856979366709373,17,9.0,8.0,9.0,8.0,13.0,4.0
Minnesota,0.6799067472842675,18,16.0,2.0,16.0,2.0,18.0,0.0
Navy,0.6633776566675961,19,21.0,-2.0,21.0,-2.0,23.0,-4.0
Air Force,0.6610470755439434,20,24.0,-4.0,24.0,-4.0,,
Iowa,0.6526534779950769,21,19.0,2.0,19.0,2.0,16.0,5.0
Florida Atlantic,0.6482674959491026,22,,,,,,
Auburn,0.642443030815079,23,13.0,10.0,9.0,14.0,12.0,11.0
SMU,0.6359759784594912,24,,,,,,
Cincinnati,0.6188011920588697,25,22.0,3.0,23.0,2.0,21.0,4.0
USC,0.6010636852173312,27,23.0,4.0,22.0,5.0,22.0,5.0
Virginia,0.5982289506066891,28,25.0,3.0,,,24.0,4.0
Oklahoma State,0.5517138568324164,33,,,25.0,8.0,25.0,8.0
