Rank,Team,PCT,Record
1,Wisconsin,1.0,(10-4)
2,Ohio State,0.994,(13-1)
3,Penn State,0.985,(11-2)
4,LSU,0.955,(15-0)
5,Alabama,0.944,(11-2)
6,Oklahoma,0.941,(12-2)
7,Baylor,0.941,(11-3)
8,Clemson,0.94,(14-1)
9,Minnesota,0.911,(11-2)
10,Oregon,0.872,(12-2)
11,Boise State,0.848,(12-2)
12,Florida,0.841,(11-2)
13,SMU,0.833,(10-3)
14,Notre Dame,0.82,(11-2)
15,Appalachian State,0.811,(13-1)
16,Missouri,0.794,(6-6)
17,Michigan,0.791,(9-4)
18,Auburn,0.783,(9-4)
19,Arizona State,0.757,(8-5)
20,Temple,0.735,(8-5)
21,Cincinnati,0.726,(11-3)
22,Utah,0.718,(11-3)
23,Memphis,0.702,(12-2)
24,Georgia,0.7,(12-2)
25,Iowa State,0.697,(7-6)
26,Washington,0.686,(8-5)
27,Tulane,0.679,(7-6)
28,Louisville,0.678,(8-5)
29,Navy,0.668,(11-2)
30,San Diego State,0.665,(10-3)
31,Wake Forest,0.665,(8-5)
32,Texas,0.657,(8-5)
33,Louisiana Tech,0.653,(10-3)
34,Pittsburgh,0.627,(8-5)
35,UAB,0.625,(9-5)
36,Duke,0.604,(5-7)
37,Air Force,0.604,(11-2)
38,Western Kentucky,0.6,(9-4)
39,Hawai'i,0.599,(10-5)
40,Arizona,0.597,(4-8)
41,Iowa,0.581,(10-3)
42,Florida Atlantic,0.578,(11-3)
43,South Carolina,0.572,(4-8)
44,California,0.565,(8-5)
45,Georgia State,0.564,(7-6)
46,Louisiana,0.564,(11-3)
47,Nevada,0.563,(7-6)
48,Florida State,0.562,(6-7)
49,Michigan State,0.562,(7-6)
50,NC State,0.56,(4-8)
51,Virginia Tech,0.555,(8-5)
52,UCF,0.554,(10-3)
53,Southern Mississippi,0.549,(7-6)
54,Wyoming,0.543,(8-5)
55,Oklahoma State,0.537,(8-5)
56,Toledo,0.536,(6-6)
57,Liberty,0.532,(8-5)
58,Utah State,0.529,(7-6)
59,Indiana,0.529,(8-5)
60,TCU,0.524,(5-7)
61,Stanford,0.518,(4-8)
62,Virginia,0.513,(9-5)
63,Nebraska,0.507,(5-7)
64,Texas Tech,0.502,(4-8)
65,Western Michigan,0.496,(7-6)
66,Kansas State,0.492,(8-5)
67,Miami,0.489,(6-7)
68,North Carolina,0.476,(7-6)
69,USC,0.472,(8-5)
70,Colorado,0.462,(5-7)
71,Texas A&M,0.456,(8-5)
72,Central Michigan,0.452,(8-6)
73,Florida International,0.45,(6-7)
74,Arkansas State,0.436,(8-5)
75,Ball State,0.433,(5-7)
76,Kent State,0.432,(7-6)
77,West Virginia,0.424,(5-7)
78,San José State,0.424,(5-7)
79,South Florida,0.423,(4-8)
80,Coastal Carolina,0.42,(5-7)
81,Syracuse,0.418,(5-7)
82,East Carolina,0.418,(4-8)
83,Maryland,0.417,(3-9)
84,Kentucky,0.412,(8-5)
85,Louisiana Monroe,0.409,(5-7)
86,Marshall,0.408,(8-5)
87,Army,0.402,(5-8)
88,Purdue,0.397,(4-8)
89,Mississippi State,0.387,(6-7)
90,Eastern Michigan,0.385,(6-7)
91,Ole Miss,0.374,(4-8)
92,Boston College,0.372,(6-7)
93,Georgia Southern,0.37,(7-6)
94,Tennessee,0.366,(8-5)
95,Bowling Green,0.349,(3-9)
96,Fresno State,0.342,(4-8)
97,Washington State,0.33,(6-7)
98,Tulsa,0.33,(4-8)
99,Miami (OH),0.317,(8-6)
100,Troy,0.316,(5-7)
101,Texas State,0.315,(3-9)
102,BYU,0.309,(7-6)
103,Middle Tennessee,0.305,(4-8)
104,Houston,0.302,(4-8)
105,UT San Antonio,0.301,(4-8)
106,Charlotte,0.296,(7-6)
107,Buffalo,0.294,(8-5)
108,UNLV,0.292,(4-8)
109,Kansas,0.289,(3-9)
110,North Texas,0.282,(4-8)
111,Oregon State,0.271,(5-7)
112,Ohio,0.259,(7-6)
113,Illinois,0.255,(6-7)
114,New Mexico,0.238,(2-10)
115,Colorado State,0.229,(4-8)
116,Northern Illinois,0.22,(5-7)
117,UTEP,0.187,(1-11)
118,Northwestern,0.184,(3-9)
119,Arkansas,0.183,(2-10)
120,UCLA,0.167,(4-8)
121,South Alabama,0.16,(2-10)
122,Georgia Tech,0.146,(3-9)
123,Connecticut,0.144,(2-10)
124,Vanderbilt,0.135,(3-9)
125,Old Dominion,0.126,(1-11)
126,UMass,0.124,(1-11)
127,Rutgers,0.11,(2-10)
128,Rice,0.095,(3-9)
129,Akron,0.026,(0-12)
130,New Mexico State,0.0,(2-10)
