Team,Conf,PCT,W,L
Alabama,Southeastern Conference,1.0,13,1
UCF,American Athletic Conference,0.9791600052366866,13,0
Georgia,Southeastern Conference,0.9665610468683701,13,2
Wisconsin,Big Ten Conference,0.9622702128661843,13,1
Ohio State,Big Ten Conference,0.9483301014452121,12,2
Clemson,Atlantic Coast Conference,0.9303720985306051,12,2
Oklahoma,Big 12 Conference,0.9127776422410379,12,2
Penn State,Big Ten Conference,0.8914824150296732,11,2
Notre Dame,FBS Independent,0.8307735961773708,10,3
USC,Pac-12 Conference,0.8070633368609097,11,3
Michigan State,Big Ten Conference,0.7942943758519698,10,3
TCU,Big 12 Conference,0.7878992700932566,11,3
Auburn,Southeastern Conference,0.7878945054301761,10,4
Northwestern,Big Ten Conference,0.7736825405258305,10,3
Miami (Fla.),Atlantic Coast Conference,0.765949120945379,10,3
Washington,Pac-12 Conference,0.7590114334424737,10,3
Troy,Sun Belt Conference,0.7512648808813949,11,2
Oklahoma State,Big 12 Conference,0.7507796662392557,10,3
Florida Atlantic,Conference USA,0.7338572597594439,11,3
Boise State,Mountain West Conference,0.7261355112497406,11,3
South Florida,American Athletic Conference,0.7254249800106141,10,2
Memphis,American Athletic Conference,0.7075951973365459,10,3
LSU,Southeastern Conference,0.6926870225464405,9,4
Army West Point,FBS Independent,0.6909719037192281,10,3
NC State,Atlantic Coast Conference,0.6902809439491342,9,4
Stanford,Pac-12 Conference,0.6852463794494236,9,5
Mississippi State,Southeastern Conference,0.6817785631645591,9,4
South Carolina,Southeastern Conference,0.6729031428106934,9,4
San Diego State,Mountain West Conference,0.6702385343062962,10,3
Virginia Tech,Atlantic Coast Conference,0.6600710549307542,9,4
Toledo,Mid-American Conference,0.6590030652133215,11,3
Fresno State,Mountain West Conference,0.6564972260198226,10,4
Iowa,Big Ten Conference,0.6472282048227861,8,5
Washington State,Pac-12 Conference,0.6400736972548082,9,4
Appalachian State,Sun Belt Conference,0.6082599565099116,9,4
Michigan,Big Ten Conference,0.6065328414410929,8,5
Ohio,Mid-American Conference,0.6048873541445428,9,4
Iowa State,Big 12 Conference,0.5970977118732541,8,5
Wake Forest,Atlantic Coast Conference,0.5963785145010895,8,5
Louisville,Atlantic Coast Conference,0.590717241410189,8,5
Kansas State,Big 12 Conference,0.5854768779565879,8,5
North Texas,Conference USA,0.5727964984254397,9,5
Marshall,Conference USA,0.5487430792454547,8,5
FIU,Conference USA,0.5355477210226951,8,5
Houston,American Athletic Conference,0.5310296066747595,7,5
Purdue,Big Ten Conference,0.5306380321236194,7,6
Florida State,Atlantic Coast Conference,0.5291572463864963,7,6
Arizona State,Pac-12 Conference,0.5277340415791181,7,6
UNI,Mid-American Conference,0.5265874855526724,8,5
