Team,Conf,PCT,W,L
Notre Dame Fighting Irish,FBS Independents,1.0,7,0
Clemson Tigers,ACC,0.9587915229728046,6,0
Alabama Crimson Tide,SEC,0.9555626996571677,7,0
Ohio State Buckeyes,Big Ten,0.9160505937934416,7,0
LSU Tigers,SEC,0.8777100641190178,6,1
Texas Longhorns,Big 12,0.8557401515170768,6,1
Florida Gators,SEC,0.844480249665173,6,1
NC State Wolfpack,ACC,0.8430657175459416,5,0
Michigan Wolverines,Big Ten,0.8411151448459542,6,1
Georgia Bulldogs,SEC,0.773497599666571,6,1
UCF Knights,American Athletic,0.7683277973605226,6,0
Oklahoma Sooners,Big 12,0.7328247184786282,5,1
Kentucky Wildcats,SEC,0.730019034936351,5,1
South Florida Bulls,American Athletic,0.7234730753493761,6,0
Iowa Hawkeyes,Big Ten,0.7230658192011425,5,1
USC Trojans,Pac-12,0.7016775649513198,4,2
Cincinnati Bearcats,American Athletic,0.686492819330753,6,0
Duke Blue Devils,ACC,0.6859311743462934,5,1
Texas A&M Aggies,SEC,0.6815631774366115,5,2
West Virginia Mountaineers,Big 12,0.671892591114827,5,1
Oregon Ducks,Pac-12,0.6441203902543158,5,1
Texas Tech Red Raiders,Big 12,0.6377516919237484,4,2
San Diego State Aztecs,Mountain West,0.6198324214014693,5,1
Stanford Cardinal,Pac-12,0.6187345452327522,4,2
Buffalo Bulls,Mid-American,0.6158246651096478,6,1
Utah Utes,Pac-12,0.6115602294357881,4,2
North Texas Mean Green,Conference USA,0.6081080823508781,6,1
Virginia Tech Hokies,ACC,0.6072668220296985,4,2
Washington Huskies,Pac-12,0.6038388815894807,5,2
UAB Blazers,Conference USA,0.6032016305494208,5,1
Penn State Nittany Lions,Big Ten,0.5946341302253949,4,2
Washington State Cougars,Pac-12,0.5921059653813213,5,1
Utah State Aggies,Mountain West,0.5886191919936363,5,1
Mississippi State Bulldogs,SEC,0.5860625636933366,4,2
Georgia Southern Eagles,Sun Belt,0.5833420163817356,5,1
Houston Cougars,American Athletic,0.5814118382564099,5,1
Virginia Cavaliers,ACC,0.5791525514184711,4,2
Ole Miss Rebels,SEC,0.5748728674644905,5,2
Boston College Eagles,ACC,0.5714248501221133,5,2
Miami Hurricanes,ACC,0.5709405266247678,5,2
Maryland Terrapins,Big Ten,0.5682119104316025,4,2
Appalachian State Mountaineers,Sun Belt,0.5659383918655508,4,1
Fresno State Bulldogs,Mountain West,0.5656425752312021,5,1
Colorado Buffaloes,Pac-12,0.5628877192893283,5,1
Army Knights,FBS Independents,0.5587592474465485,4,2
Wisconsin Badgers,Big Ten,0.5564135536879237,4,2
Michigan State Spartans,Big Ten,0.5500080053470635,4,2
Temple Owls,American Athletic,0.5493456581793045,4,3
Iowa State Cyclones,Big 12,0.5458782628142734,3,3
Louisiana Tech Bulldogs,Conference USA,0.5273388955670708,4,2
Hawai'i Rainbow Warriors,Mountain West,0.5116289314090003,6,2
Western Michigan Broncos,Mid-American,0.5067130553233017,5,2
Troy Trojans,Sun Belt,0.501824075509483,5,2
Boise State Broncos,Mountain West,0.4980564796295684,4,2
BYU Cougars,FBS Independents,0.48564596797352894,4,3
Syracuse Orange,ACC,0.48525745450294416,4,2
Indiana Hoosiers,Big Ten,0.4819053742563286,4,3
Northwestern Wildcats,Big Ten,0.47356329434009253,3,3
Baylor Bears,Big 12,0.47301943901577437,4,3
South Carolina Gamecocks,SEC,0.4673267477705743,3,3
Purdue Boilermakers,Big Ten,0.46010668713324704,3,3
Marshall Thundering Herd,Conference USA,0.4549870770825974,4,2
Arizona State Sun Devils,Pac-12,0.447168521450518,3,3
Florida Intl Golden Panthers,Conference USA,0.430729604789993,4,2
Tennessee Volunteers,SEC,0.42623263284428703,3,3
TCU Horned Frogs,Big 12,0.42608523280311666,3,3
Liberty Flames,FBS Independents,0.4134812585930412,3,3
Northern Illinois Huskies,Mid-American,0.4101155184288172,4,3
Minnesota Golden Gophers,Big Ten,0.4082510985115137,3,3
Arkansas State Red Wolves,Sun Belt,0.4045772795543436,3,3
Wake Forest Demon Deacons,ACC,0.39921268046974867,3,3
Auburn Tigers,SEC,0.3918780035935113,4,3
